Country,Year-Month,New_Confirmed,New_Deaths,New_Recovered,Total_Confirmed(new+previous)
Benin,01-11-2021,101,0,0,24850
Benin,01-12-2021,85,0,0,24935
Benin,01-01-2022,1515,2,0,26450
Benin,01-02-2022,117,0,0,26567
Benin,01-03-2022,385,0,0,26952
Benin,01-04-2022,0,0,0,26952
Bhutan,01-01-2020,0,0,0,0
Bhutan,01-02-2020,0,0,0,0
Bhutan,01-03-2020,4,0,0,4
Bhutan,01-04-2020,3,0,5,7
Bhutan,01-05-2020,36,0,1,43
Bhutan,01-06-2020,34,0,42,77
Bhutan,01-07-2020,24,0,41,101
Bhutan,01-08-2020,124,0,53,225
Bhutan,01-09-2020,57,0,80,282
Bhutan,01-10-2020,67,0,102,349
Bhutan,01-11-2020,61,0,57,410
Bhutan,01-12-2020,260,0,67,670
Bhutan,01-01-2021,189,1,366,859
Bhutan,01-02-2021,8,0,51,867
Bhutan,01-03-2021,6,0,4,873
Bhutan,01-04-2021,201,0,92,1074
Bhutan,01-05-2021,546,0,347,1620
Bhutan,01-06-2021,480,0,465,2100
Bhutan,01-07-2021,415,1,601,2515
Bhutan,01-08-2021,81,1,44,2596
Bhutan,01-09-2021,5,0,0,2601
Bhutan,01-10-2021,20,0,0,2621
Bhutan,01-11-2021,19,0,0,2640
Bhutan,01-12-2021,20,0,0,2660
Bhutan,01-01-2022,2231,1,0,4891
Bhutan,01-02-2022,7811,2,0,12702
Bhutan,01-03-2022,15399,4,0,28101
Bhutan,01-04-2022,23699,6,0,51800
Bolivia,01-01-2020,0,0,0,0
Bolivia,01-02-2020,0,0,0,0
Bolivia,01-03-2020,107,6,0,107
Bolivia,01-04-2020,1060,56,132,1167
Bolivia,01-05-2020,8815,251,836,9982
Bolivia,01-06-2020,23237,810,8372,33219
Bolivia,01-07-2020,43570,1854,14242,76789
Bolivia,01-08-2020,39809,2050,36826,116598
Bolivia,01-09-2020,18713,2938,35121,135311
Bolivia,01-10-2020,6446,760,15974,141757
Bolivia,01-11-2020,2951,232,10199,144708
Bolivia,01-12-2020,15416,208,10395,160124
Bolivia,01-01-2021,56711,1214,27125,216835
Bolivia,01-02-2021,32175,1270,33810,249010
Bolivia,01-03-2021,23401,608,28930,272411
Bolivia,01-04-2021,31321,694,28418,303732
Bolivia,01-05-2021,67547,1573,44893,371279
Bolivia,01-06-2021,68345,2243,65653,439624
Bolivia,01-07-2021,33882,1054,47006,473506
Bolivia,01-08-2021,17373,631,3898,490879
Bolivia,01-09-2021,9566,283,0,500445
Bolivia,01-10-2021,13139,190,0,513584
Bolivia,01-11-2021,23975,246,0,537559
Bolivia,01-12-2021,62194,509,0,599753
Bolivia,01-01-2022,255952,1271,0,855705
Bolivia,01-02-2022,37690,487,0,893395
Bolivia,01-03-2022,8548,456,0,901943
Bolivia,01-04-2022,1945,9,0,903888
Bosnia and Herzegovina,01-01-2020,0,0,0,0
Bosnia and Herzegovina,01-02-2020,0,0,0,0
Bosnia and Herzegovina,01-03-2020,420,13,17,420
Bosnia and Herzegovina,01-04-2020,1337,56,710,1757
Bosnia and Herzegovina,01-05-2020,753,84,1135,2510
Bosnia and Herzegovina,01-06-2020,1943,33,540,4453
Bosnia and Herzegovina,01-07-2020,7423,153,3557,11876
Bosnia and Herzegovina,01-08-2020,8088,270,7136,19964
Bosnia and Herzegovina,01-09-2020,7505,247,7521,27469
Bosnia and Herzegovina,01-10-2020,22621,378,7467,50090
Bosnia and Herzegovina,01-11-2020,37811,1447,24686,87901
Bosnia and Herzegovina,01-12-2020,23084,1380,24456,110985
Bosnia and Herzegovina,01-01-2021,10512,629,17379,121497
Bosnia and Herzegovina,01-02-2021,9482,392,21243,130979
Bosnia and Herzegovina,01-03-2021,38647,1528,14645,169626
